mlbamid,steamerid,pn,split,proj_season,m_id,firstname,lastname,name,Team,bats,age,BB,K,Single,Double,Triple,HR,BO
576397,10816,0,vL,2018,0-vL-576397,Jedd,Gyorko,Jedd Gyorko,SLN,R,29,0.104727215,0.196214764,0.14150983,0.042096216,0.002767488,0.049278534,0.463405954
576397,10816,1,vL,2018,1-vL-576397,Jedd,Gyorko,Jedd Gyorko,SLN,R,29,0.105936031,0.200600641,0.139509011,0.040740822,0.002880286,0.051998369,0.45833484
592239,10822,0,vL,2018,0-vL-592239,Todd,Cunningham,Todd Cunningham,LAA,B,29,0.066061172,0.179671869,0.164789957,0.041016002,0.001814867,0.00943731,0.537208822
592239,10822,1,vL,2018,1-vL-592239,Todd,Cunningham,Todd Cunningham,LAA,B,29,0.067876039,0.176768081,0.165515904,0.04283087,0.002177841,0.010163257,0.534668008
592743,10847,0,vL,2018,0-vL-592743,Andrelton,Simmons,Andrelton Simmons,LAA,R,28,0.084079329,0.092220836,0.171715331,0.05062673,0.002388868,0.022631247,0.576337659
592743,10847,1,vL,2018,1-vL-592743,Andrelton,Simmons,Andrelton Simmons,LAA,R,28,0.086640315,0.090584741,0.170660539,0.052262176,0.002629833,0.023857506,0.573364889
592419,10882,0,vL,2018,0-vL-592419,Jared,Hoying,Jared Hoying,TEX,L,29,0.0560441,0.266540443,0.136800559,0.039274999,0.003089045,0.018092977,0.480157877
592419,10882,1,vL,2018,1-vL-592419,Jared,Hoying,Jared Hoying,TEX,L,29,0.055161516,0.271835949,0.132387637,0.039274999,0.002647753,0.017210393,0.481481754
594807,10950,0,vL,2018,0-vL-594807,Adam,Duvall,Adam Duvall,CIN,R,29,0.078827392,0.256489479,0.114986751,0.047254344,0.003396119,0.054298022,0.444747894
594807,10950,1,vL,2018,1-vL-594807,Adam,Duvall,Adam Duvall,CIN,R,29,0.078068637,0.248462743,0.118052784,0.048846067,0.003846387,0.048858251,0.453865132
594824,10951,0,vL,2018,0-vL-594824,Greg,Garcia,Greg Garcia,SLN,L,28,0.096474032,0.238202455,0.158630577,0.033835245,0.002837043,0.005998008,0.464022639
594824,10951,1,vL,2018,1-vL-594824,Greg,Garcia,Greg Garcia,SLN,L,28,0.097627776,0.243539882,0.157020068,0.034697823,0.002918934,0.00614905,0.458046468
594838,10953,0,vL,2018,0-vL-594838,Phil,Gosselin,Phil Gosselin,TEX,R,29,0.06399706,0.195990997,0.176563318,0.048854899,0.004571219,0.011713748,0.49830876
594838,10953,1,vL,2018,1-vL-594838,Phil,Gosselin,Phil Gosselin,TEX,R,29,0.062854256,0.199990813,0.173134904,0.048569198,0.003999816,0.011428046,0.500022967
595023,10961,0,vL,2018,0-vL-595023,Colin,Walsh,Colin Walsh,MIL,B,28,0.128371969,0.256389319,0.135464343,0.040071913,0.001418475,0.016667079,0.421616902
595023,10961,1,vL,2018,1-vL-595023,Colin,Walsh,Colin Walsh,MIL,B,28,0.125535019,0.253906988,0.137946674,0.040426532,0.001418475,0.015248604,0.425517708
594828,11003,0,vL,2018,0-vL-594828,Evan,Gattis,Evan Gattis,HOU,R,31,0.075483455,0.180761466,0.131906655,0.050676359,0.002316298,0.059778047,0.49907772
594828,11003,1,vL,2018,1-vL-594828,Evan,Gattis,Evan Gattis,HOU,R,31,0.074768885,0.17606468,0.135306315,0.050518911,0.002128572,0.05774455,0.503468088
400085,1101,0,vL,2018,0-vL-400085,Ichiro,Suzuki,Ichiro Suzuki,MIA,L,44,0.067135135,0.172693524,0.189582867,0.032511984,0.003800102,0.00717797,0.527098417
400085,1101,1,vL,2018,1-vL-400085,Ichiro,Suzuki,Ichiro Suzuki,MIA,L,44,0.066712902,0.176071393,0.187893932,0.032934217,0.003377868,0.008444671,0.524565016
595281,11038,0,vL,2018,0-vL-595281,Kevin,Kiermaier,Kevin Kiermaier,TBA,L,28,0.069232273,0.242092091,0.149827385,0.03943075,0.004731643,0.020923703,0.473762156
595281,11038,1,vL,2018,1-vL-595281,Kevin,Kiermaier,Kevin Kiermaier,TBA,L,28,0.069545457,0.238359597,0.151031038,0.041112359,0.00498406,0.020919028,0.474048461
518568,11145,0,vL,2018,0-vL-518568,Christian,Colon,Christian Colon,MIA,R,29,0.09464087,0.168795454,0.169083993,0.041838189,0.002019775,0.010098873,0.513522846
518568,11145,1,vL,2018,1-vL-518568,Christian,Colon,Christian Colon,MIA,R,29,0.093775252,0.171680846,0.168506915,0.040972572,0.001731235,0.01125303,0.51208015
519237,11146,0,vL,2018,0-vL-519237,Cameron,Rupp,Cameron Rupp,PHI,R,29,0.106296111,0.270382049,0.117682211,0.045867282,0.001288992,0.040647753,0.417835602
519237,11146,1,vL,2018,1-vL-519237,Cameron,Rupp,Cameron Rupp,PHI,R,29,0.10489144,0.263273523,0.121456391,0.047407972,0.00148857,0.03830621,0.423175895
570717,11165,0,vL,2018,0-vL-570717,Ramon,Flores,Ramon Flores,LAA,L,26,0.087139743,0.219239886,0.15295806,0.032445649,0.002781056,0.010660713,0.494774892
570717,11165,1,vL,2018,1-vL-570717,Ramon,Flores,Ramon Flores,LAA,L,26,0.08945729,0.215068303,0.155275606,0.033836177,0.002781056,0.011587732,0.491993837
592710,11167,0,vL,2018,0-vL-592710,Josh,Rutledge,Josh Rutledge,BOS,R,29,0.078823234,0.2641214,0.150018412,0.048311014,0.003814027,0.016209617,0.438702296
592710,11167,1,vL,2018,1-vL-592710,Josh,Rutledge,Josh Rutledge,BOS,R,29,0.078823234,0.264757071,0.146204385,0.044179151,0.004449699,0.016209617,0.445376844
592592,11192,0,vL,2018,0-vL-592592,Brett,Nicholas,Brett Nicholas,TEX,L,29,0.048470632,0.258382851,0.161648957,0.038288772,0.001770939,0.014242162,0.477195688
592592,11192,1,vL,2018,1-vL-592592,Brett,Nicholas,Brett Nicholas,TEX,L,29,0.047541615,0.263600277,0.156858713,0.038060665,0.001642369,0.013561989,0.478734372
594777,11200,0,vL,2018,0-vL-594777,Kole,Calhoun,Kole Calhoun,LAA,L,30,0.09134101,0.224830138,0.145861873,0.037536854,0.002562271,0.027782822,0.470085033
594777,11200,1,vL,2018,1-vL-594777,Kole,Calhoun,Kole Calhoun,LAA,L,30,0.094177852,0.22076096,0.147362312,0.039076097,0.002788042,0.030024074,0.465810663
506924,11204,0,vL,2018,0-vL-506924,Stephen,Cardullo,Stephen Cardullo,COL,R,30,0.093288338,0.167919008,0.156501629,0.050682022,0.004734035,0.029518101,0.497356867
506924,11204,1,vL,2018,1-vL-506924,Stephen,Cardullo,Stephen Cardullo,COL,R,30,0.091895975,0.177387078,0.141464106,0.045947987,0.003898617,0.027011847,0.51239439
594809,11205,0,vL,2018,0-vL-594809,Adam,Eaton,Adam Eaton,WAS,L,29,0.081452747,0.180553645,0.182341973,0.042254699,0.00437268,0.00971381,0.499310447
594809,11205,1,vL,2018,1-vL-594809,Adam,Eaton,Adam Eaton,WAS,L,29,0.083367839,0.184869758,0.174361969,0.041093376,0.005112819,0.01019565,0.50099859
502273,11241,0,vL,2018,0-vL-502273,Mike,Freeman,Mike Freeman,CHN,L,30,0.067642911,0.260029893,0.161640204,0.031186018,0.003074678,0.004831637,0.47159466
502273,11241,1,vL,2018,1-vL-502273,Mike,Freeman,Mike Freeman,CHN,L,30,0.066325192,0.256955215,0.161640204,0.031625257,0.003074678,0.004831637,0.475547817
518466,11247,0,vL,2018,0-vL-518466,Jabari,Blash,Jabari Blash,NYA,R,28,0.136783694,0.318180063,0.102195806,0.035490594,0.001235282,0.047320792,0.358793769
518466,11247,1,vL,2018,1-vL-518466,Jabari,Blash,Jabari Blash,NYA,R,28,0.135928499,0.316184608,0.103811175,0.037866136,0.001425325,0.045230315,0.359553942
519421,11251,0,vL,2018,0-vL-519421,Andy,Wilkins,Andy Wilkins,MIL,L,29,0.0697755,0.323147783,0.117310059,0.034451653,0.001308291,0.023985328,0.430021387
519421,11251,1,vL,2018,1-vL-519421,Andy,Wilkins,Andy Wilkins,MIL,L,29,0.068031112,0.319659008,0.116437865,0.035759944,0.001308291,0.02093265,0.437871131
519333,11255,0,vL,2018,0-vL-519333,Matt,Szczur,Matt Szczur,SDN,R,28,0.101573976,0.19739522,0.148905759,0.041233394,0.004079309,0.017916589,0.488895752
519333,11255,1,vL,2018,1-vL-519333,Matt,Szczur,Matt Szczur,SDN,R,28,0.101012968,0.193373521,0.15263118,0.044459532,0.004027186,0.018503659,0.485991954
570731,11265,0,vL,2018,0-vL-570731,Jonathan,Schoop,Jonathan Schoop,BAL,R,26,0.056367999,0.216567697,0.152914961,0.05235285,0.000891923,0.051788901,0.469115669
570731,11265,1,vL,2018,1-vL-570731,Jonathan,Schoop,Jonathan Schoop,BAL,R,26,0.056357843,0.219319337,0.150713529,0.053231033,0.001001248,0.049164508,0.470212502
571437,11270,0,vL,2018,0-vL-571437,Aaron,Altherr,Aaron Altherr,PHI,R,27,0.104782193,0.222189066,0.130806588,0.051740067,0.005981335,0.042756116,0.441744634
571437,11270,1,vL,2018,1-vL-571437,Aaron,Altherr,Aaron Altherr,PHI,R,27,0.103351607,0.21635305,0.134537737,0.052766989,0.006882314,0.040148768,0.445959535
